@id,@metadata.@collection,Name,Price,Category
6d074d2f-78b0-5f35-9285-0058e3caea14,Product,h[ODINo[YIxTz$OtG,200,4z525VbGJ@aw
2951fee2-db01-52e0-95e2-9721988da476,Product,vJX^1cZULNLt(4,200,)hKLEnHw2IKkhM*
fb2fed2d-c384-5bdc-aa7b-8d6581b7c5c5,Product,4b0x(beC@Nb[MwuzFS,200,G0Bk(DwW![r&U!S8
56b90e8f-a324-520c-9c71-0992be1c01a2,Product,9QoVE,200,Sw1m(aIrzPRFS$
8ebac150-d375-5399-8d64-2e03a8f9d737,Product,a4&Pmh^UKtKO$ulBWv9P,200,kb8Xbz7!Dz
4be1d02b-88ec-5773-9df0-3028e79814c3,Product,W)[J^Bm[PDNiyI$c,200,ii#8hU0WZq30X
ddaa7ac8-8a00-59ae-99cf-4e8074b9cd0c,Product,zyavg,200,!j6GqN6
7caae83e-b589-5e08-934a-c05574f75bd5,Product,1^dPt1%m%C*XU0eBk,200,pxcYAb#V5d
c0806150-b5e7-5dd9-8176-459208d1bcdf,Product,BgDB9fIv7EAqLM2o@,200,[maD4((8cfYzHtqvH6Lr
aeabe8ec-e7ee-5ddb-a959-e3683a959f9d,Product,sO9(c$KfhbDKwzBvK),200,jXnsRZxxj2pY#Wm%
63afc6af-074a-572e-8063-174fda41d22c,Product,$Yw@#05qhq9PMYH!LD[i,200,dpkEba)DC9kbpN@Fl*3
22c6c2fb-fc2f-508c-b599-cb5933b3509c,Product,]T6)xz,200,SJCrkk(5Y[R9fRohW5
00a933ac-9e78-5a25-9d00-994d66f6285d,Product,9F@R2kiwMhfN1x,200,iYC7Rud
6f209c97-b5cb-5fd6-b67a-ae07af835044,Product,@b#TKrPU)gV6UFy,200,ptksd23uWPovFNhRPB&
435fafe4-98be-57ce-a6a8-efb60270c8de,Product,57dbzd,200,wRB06LPk6p2v
a9da0eb1-1ddf-58a1-8c99-0bd38921dc73,Product,P4hGtw*@IxG,200,jJsKVg0#GSi%%r^X#
c5568e73-b1b6-5e33-b7a5-c024f19119fb,Product,px&HS%M@TNeZA),200,f^4GkfvG[bG
97996aa8-cc3d-576f-b2ac-26aa015c3579,Product,EUD]H,200,i#3&%go@g!IJ(KGD
dd19f7b6-7c77-54fd-934d-3429014e0f0d,Product,G4NncI#FAbXA,200,4BXR9Ar7
b3947462-e442-5132-b934-66bd590d3ed9,Product,YGQBs!QvbJ9,200,fX*Kn0[OI]A1
bcf01065-a1c3-5c07-b9eb-9f2922d790fd,Product,J*&eT,200,gPkn#zxBHsoToh9(N[XO
e4a6df1a-1894-5c09-b6a2-aca173e41b5e,Product,bEUG6,200,6r3r^P)Z@p(zc20
64c1928e-4f7b-5d00-9afc-e105ff5ad131,Product,gyTg9,200,txS3btv9o*i
996c678c-9e4a-5e12-9ccb-835644ac8a78,Product,kf&k7Gf0riiLf1,200,JG(QKQiK$4#0B@mQx
55c5f832-d8dd-5ed0-afb8-fca7ab514364,Product,u]aViD,200,spiVftshO
453b78d0-4ed8-5207-bf1e-7bf0b25b06f8,Product,Q&C99dDPU@,200,3M2pHE53s1![@QYI!
3dee48d3-970a-5e00-bfc2-aa56d9a5889c,Product,OTEwqf$QB%uf4!@E#(WW,200,qD4M@7%buK
a6444d3e-f71b-5380-813c-1dc1b0c09cf7,Product,r6E4IGU,200,&Kg2IOwh35K
a84db8c8-a487-5a07-966b-632fe154f23d,Product,H7(w1Q,200,]Of)Ob^gE$f*&h%x
95c06980-59ed-5ea3-9059-78d4b49b96e8,Product,PvtoiU)IS1IR&p9u&T,200,tefcQdfL^^G
3a893971-f0a9-5ea7-baa6-90dd01f75f29,Product,4z0][QYWN1lI10A%,200,Vd8LtnfKy@47Bbbj7O
311d118f-b6fc-5bb8-9423-cf0ac94b9b22,Product,Oeu4955[4,200,VdkE^TstnvsL!HF
6194e3d6-f6a5-5dac-98eb-9d8152c8e3dd,Product,oNwl8,200,bw95Q64Ydo]
